Currency_Code,Rate_vs_USD,Date
AUD,1.5295,2025-10-31
BGN,1.6927,2025-10-31
BRL,5.3809,2025-10-31
CAD,1.4027,2025-10-31
CHF,0.80379,2025-10-31
CNY,7.1162,2025-10-31
CZK,21.055,2025-10-31
DKK,6.4633,2025-10-31
EUR,0.8655,2025-10-31
GBP,0.76303,2025-10-31
HKD,7.7711,2025-10-31
HUF,335.9,2025-10-31
IDR,16662.0,2025-10-31
ILS,3.2494,2025-10-31
INR,88.72,2025-10-31
ISK,125.32,2025-10-31
JPY,154.18,2025-10-31
KRW,1428.14,2025-10-31
MXN,18.5468,2025-10-31
MYR,4.188,2025-10-31
NOK,10.0818,2025-10-31
NZD,1.7494,2025-10-31
PHP,58.711,2025-10-31
PLN,3.6836,2025-10-31
RON,4.4018,2025-10-31
SEK,9.4556,2025-10-31
SGD,1.3016,2025-10-31
THB,32.325,2025-10-31
TRY,42.049,2025-10-31
ZAR,17.349,2025-10-31
